airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
toa,0,path,,UNLABELED,63.13,158.43,84.44,144.69,21.31,13.74,292.7999,110.9731,54.5818,73.785,151.56,1.5509,12,1,0,1,rgb,207,207,207,0,none,,,,0.0,151.1667,15.2658,152.1965,18.4161,0.0,594.0,387.36,0.0,122.0494
toa,1,path,,UNLABELED,59.17,168.01,107.81,136.07,48.64,31.94,1553.5617,177.5131,120.0313,83.49,152.04,1.5229,22,1,0,1,rgb,207,207,207,0,none,,,,0.0,149.5684,96.3524,152.2114,29.3215,0.0,594.0,387.36,0.0,301.6225
toa,2,path,,UNLABELED,117.06,170.85,130.83,157.12,13.77,13.73,189.0623,39.5129,46.7588,123.945,163.985,1.0029,26,1,0,1,rgb,207,207,207,0,none,,,,0.0,153.5144,1.9247,51.6167,3.5593,0.0,594.0,387.36,0.0,95.7983
toa,3,path,,UNLABELED,132.58,204.08,149.51,176.71,16.93,27.37,463.3738,120.6608,76.7751,141.045,190.395,0.6186,31,1,0,1,rgb,207,207,207,0,none,,,,0.0,57.9535,5.8518,51.5595,22.0363,0.0,594.0,387.36,0.0,189.3039
toa,4,path,,UNLABELED,122.73,199.35,135.77,184.86,13.04,14.49,188.9495,35.7839,44.2586,129.25,192.105,0.8999,21,1,0,1,rgb,207,207,207,0,none,,,,0.0,130.8473,5.0716,141.5389,9.0035,0.0,594.0,387.36,0.0,87.7806
toa,5,path,,UNLABELED,99.84,244.29,123.73,165.32,23.89,78.97,1886.5939,249.3179,191.664,111.785,204.805,0.3025,33,1,0,1,rgb,207,207,207,0,none,,,,0.0,86.8002,14.6411,71.0689,52.9543,0.0,594.0,387.36,0.0,1096.1626
toa,6,path,,UNLABELED,239.65,346.57,254.69,334.62,15.04,11.95,179.7281,35.7538,44.2391,247.17,340.595,1.2586,21,1,0,1,rgb,207,207,207,0,none,,,,0.0,157.9217,4.9682,141.5888,8.9973,0.0,594.0,387.36,0.0,87.6802
toa,7,path,,UNLABELED,185.01,293.06,216.22,273.43,31.21,19.63,612.6523,75.4344,84.3766,200.615,283.245,1.5899,22,1,0,1,rgb,207,207,207,0,none,,,,0.0,24.1798,14.9723,21.5102,14.6181,0.0,594.0,387.36,0.0,189.1083
toa,8,path,,UNLABELED,168.51,266.71,179.68,232.98,11.17,33.73,376.7638,73.343,81.5105,174.095,249.845,0.3312,29,1,0,1,rgb,207,207,207,0,none,,,,0.0,75.9806,20.007,82.1739,14.3941,0.0,594.0,387.36,0.0,179.9304
toa,9,path,,UNLABELED,170.48,238.37,183.96,224.95,13.48,13.42,180.9015,38.4253,45.6069,177.22,231.66,1.0045,27,1,0,1,rgb,207,207,207,0,none,,,,0.0,159.1685,1.527,49.4711,9.4332,0.0,594.0,387.36,0.0,91.3404
toa,10,path,,UNLABELED,213.09,292.28,226.94,278.38,13.85,13.9,192.515,40.0954,47.4667,220.015,285.33,0.9964,31,1,0,1,rgb,207,207,207,0,none,,,,0.0,172.0757,2.2413,51.7433,3.553,0.0,594.0,387.36,0.0,97.5265
