airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
toi,0,path,,UNLABELED,144.35,361.98,163.02,359.18,18.67,2.8,52.2761,0.0,18.8788,153.685,360.58,6.6678,2,1,0,0,none,,,,1,rgb,0,0,0,1.44,171.4707,1000000.0,171.4707,18.8788,0.0,594.0,387.36,0.0,0.0
toi,1,path,,UNLABELED,338.21,340.9,343.91,333.54,5.7,7.36,41.952,20.4153,18.5096,341.06,337.22,0.7745,11,1,0,1,rgb,207,207,207,0,none,,,,0.0,57.2498,3.7016,168.8556,4.7598,0.0,594.0,387.36,0.0,25.4985
toi,2,path,,UNLABELED,337.91,348.75,344.15,340.49,6.24,8.26,51.5425,24.099,20.9225,341.03,344.62,0.7555,30,1,0,1,rgb,207,207,207,0,none,,,,0.0,127.1744,5.3041,170.7952,2.563,0.0,594.0,387.36,0.0,30.0088
toi,3,path,,UNLABELED,263.69,355.74,271.68,345.89,7.99,9.85,78.7015,29.4698,31.7909,267.685,350.815,0.8112,26,1,0,1,rgb,207,207,207,0,none,,,,0.0,74.5229,2.0358,170.2703,8.1066,0.0,594.0,387.36,0.0,49.703
toi,4,path,,UNLABELED,266.23,361.17,274.72,355.14,8.49,6.03,51.1946,31.7746,21.6631,270.475,358.155,1.408,23,1,0,1,rgb,207,207,207,0,none,,,,0.0,174.9661,4.6938,170.1674,8.1396,0.0,594.0,387.36,0.0,35.3236
toi,5,path,,UNLABELED,213.01,369.94,266.7,358.6,53.69,11.34,608.8446,132.9213,108.3674,239.855,364.27,4.7346,8,1,0,1,rgb,207,207,207,0,none,,,,0.0,169.4875,403.8305,170.1445,50.0689,0.0,594.0,387.36,0.0,136.8238
toi,6,path,,UNLABELED,154.18,434.77,186.35,396.2,32.17,38.57,1240.7977,116.3293,97.847,170.265,415.485,0.8341,10,1,0,1,rgb,207,207,207,0,none,,,,0.0,129.9619,276.5547,129.1311,43.2897,0.0,594.0,387.36,0.0,119.7475
toi,7,path,,UNLABELED,254.61,168.08,284.74,95.02,30.13,73.06,2201.297,200.747,157.2825,269.675,131.55,0.4124,8,1,0,1,rgb,207,207,207,0,none,,,,0.0,110.942,723.8273,110.4414,76.0488,0.0,594.0,387.36,0.0,228.4002
toi,8,path,,UNLABELED,216.75,268.67,222.76,259.99,6.01,8.68,52.1668,30.1137,22.4877,219.755,264.33,0.6924,15,1,0,1,rgb,207,207,207,0,none,,,,0.0,107.9802,5.8016,110.5159,8.3603,0.0,594.0,387.36,0.0,31.8742
toi,9,path,,UNLABELED,205.39,264.31,217.86,255.29,12.47,9.02,112.4793,35.4256,34.7134,211.625,259.8,1.3825,22,1,0,1,rgb,207,207,207,0,none,,,,0.0,16.6886,3.1514,110.4863,7.6861,0.0,594.0,387.36,0.0,61.4849
toi,10,path,,UNLABELED,186.14,351.15,219.83,267.76,33.69,83.39,2809.4088,217.3258,176.8661,202.985,309.455,0.404,14,1,0,1,rgb,207,207,207,0,none,,,,0.0,110.5686,245.8061,110.4471,84.9311,0.0,594.0,387.36,0.0,353.7563
toi,11,path,,UNLABELED,240.12,170.9,251.69,162.76,11.57,8.14,94.1797,32.1014,32.2763,245.905,166.83,1.4214,20,1,0,1,rgb,207,207,207,0,none,,,,0.0,22.5303,3.3408,20.7066,7.5796,0.0,594.0,387.36,0.0,53.6486
toi,12,path,,UNLABELED,250.62,175.75,257.34,167.18,6.72,8.57,57.5905,34.1076,23.5901,253.98,171.465,0.7841,15,1,0,1,rgb,207,207,207,0,none,,,,0.0,103.132,3.8733,110.4495,8.1859,0.0,594.0,387.36,0.0,36.4595
toi,13,path,,UNLABELED,220.34,260.84,254.48,174.86,34.14,85.98,2935.3575,226.6758,184.1937,237.41,217.85,0.3971,5,1,0,1,rgb,207,207,207,0,none,,,,0.0,110.7216,1339.6841,110.4445,90.8101,0.0,594.0,387.36,0.0,229.7721
toi,14,path,,UNLABELED,270.19,89.14,281.03,82.71,10.84,6.43,69.7011,32.8889,28.7227,275.61,85.925,1.6858,22,1,0,1,rgb,207,207,207,0,none,,,,0.0,179.729,3.5553,110.4645,3.661,0.0,594.0,387.36,0.0,46.4704
toi,15,path,,UNLABELED,280.13,96.15,285.49,85.81,5.36,10.34,55.4222,30.0846,24.7123,282.81,90.98,0.5184,25,1,0,1,rgb,207,207,207,0,none,,,,0.0,71.7298,3.9005,106.2388,3.2184,0.0,594.0,387.36,0.0,35.7915
toi,16,path,,UNLABELED,274.26,359.78,338.36,346.27,64.1,13.51,865.9903,162.7393,134.2537,306.31,353.025,4.7446,9,1,0,1,rgb,207,207,207,0,none,,,,0.0,169.4029,644.8644,170.1517,62.9679,0.0,594.0,387.36,0.0,163.4221
toi,17,path,,UNLABELED,321.77,473.61,328.04,469.99,6.27,3.62,22.6974,14.4036,16.0231,324.905,471.8,1.732,16,1,0,1,rgb,207,207,207,0,none,,,,0.0,174.7347,2.2031,35.492,2.9108,0.0,594.0,387.36,0.0,15.2546
toi,18,path,,UNLABELED,325.67,471.68,332.59,461.74,6.92,9.94,68.7846,27.2878,23.1576,329.13,466.71,0.6962,14,1,0,1,rgb,207,207,207,0,none,,,,0.0,110.9019,3.801,126.7643,7.602,0.0,594.0,387.36,0.0,35.6285
toi,19,path,,UNLABELED,244.16,432.23,252.22,425.11,8.06,7.12,57.3871,32.0634,16.2166,248.19,428.67,1.132,17,1,0,1,rgb,207,207,207,0,none,,,,0.0,23.0331,3.3998,123.1044,2.9844,0.0,594.0,387.36,0.0,34.9079
toi,20,path,,UNLABELED,250.59,473.56,322.27,429.73,71.68,43.83,3141.7342,233.1219,169.2596,286.43,451.645,1.6354,13,1,0,1,rgb,207,207,207,0,none,,,,0.0,30.9165,588.9062,30.338,66.7392,0.0,594.0,387.36,0.0,247.8839
toi,21,path,,UNLABELED,224.27,428.47,245.73,414.35,21.46,14.12,303.0152,66.4018,28.9302,235.0,421.41,1.5198,5,1,0,1,rgb,207,207,207,0,none,,,,0.0,29.1227,66.6434,30.3599,23.109,0.0,594.0,387.36,0.0,66.4532
toi,22,path,,UNLABELED,96.0,310.58,102.87,302.47,6.87,8.11,55.7156,24.3158,20.2408,99.435,306.525,0.8471,15,1,0,1,rgb,207,207,207,0,none,,,,0.0,51.0201,3.8348,37.1898,2.862,0.0,594.0,387.36,0.0,28.6884
toi,23,path,,UNLABELED,96.0,302.77,106.65,291.92,10.65,10.85,115.5526,35.348,29.4367,101.325,297.345,0.9816,17,1,0,1,rgb,207,207,207,0,none,,,,0.0,133.1097,12.9698,126.8439,8.822,0.0,594.0,387.36,0.0,46.7638
toi,24,path,,UNLABELED,101.32,349.05,153.75,308.26,52.43,40.79,2138.6205,177.7854,69.3757,127.535,328.655,1.2854,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,37.1077,523.5911,37.0998,63.7925,0.0,594.0,387.36,0.0,177.7854
toi,25,path,,UNLABELED,167.62,368.62,179.5,358.48,11.88,10.14,120.4632,36.7692,31.0452,173.56,363.55,1.1716,14,1,0,1,rgb,207,207,207,0,none,,,,0.0,28.0114,9.8761,37.2349,12.5603,0.0,594.0,387.36,0.0,49.8149
toi,26,path,,UNLABELED,180.67,366.7,189.74,353.2,9.07,13.5,122.4451,38.6098,33.1932,185.205,359.95,0.6719,27,1,0,1,rgb,207,207,207,0,none,,,,0.0,114.241,5.9238,108.2603,4.1489,0.0,594.0,387.36,0.0,59.1305
toi,27,path,,UNLABELED,177.67,378.99,188.53,366.03,10.86,12.96,140.7457,70.6244,29.6355,183.1,372.51,0.838,33,1,0,1,rgb,207,207,207,0,none,,,,0.0,63.1399,6.4093,80.3366,3.2765,0.0,594.0,387.36,0.0,86.5051
toi,28,path,,UNLABELED,187.98,375.0,194.95,370.81,6.97,4.19,29.2043,20.0687,15.9915,191.465,372.905,1.6635,5,1,0,1,rgb,207,207,207,0,none,,,,0.0,175.6351,4.6023,168.1248,6.5604,0.0,594.0,387.36,0.0,20.1669
toi,29,path,,UNLABELED,184.67,397.54,191.03,390.9,6.36,6.64,42.2303,22.078,18.9429,187.85,394.22,0.9578,17,1,0,1,rgb,207,207,207,0,none,,,,0.0,156.1351,1.9797,162.2887,3.2542,0.0,594.0,387.36,0.0,27.0109
