airport,object_id,subpath_index,edge_index,mid_x,mid_y,angle,length
toi,0,0,0,153.685,360.58,171.4707,18.8788
toi,1,0,0,342.645,340.695,170.7949,2.563
toi,1,0,1,343.725,339.26,81.4465,2.4877
toi,1,0,2,343.21,335.785,81.6377,4.5382
toi,1,0,3,340.545,334.0,168.8556,4.7598
toi,1,0,4,338.54,334.62,25.8667,0.7335
toi,1,0,5,339.165,334.985,34.7964,0.7185
toi,1,0,6,339.715,335.435,43.8531,0.7072
toi,1,0,7,340.17,335.955,53.9724,0.6801
toi,1,0,8,340.515,336.53,64.2035,0.6664
toi,1,0,9,340.75,337.145,74.0553,0.6552
toi,2,0,0,338.405,348.74,167.4681,0.0922
toi,2,0,1,338.665,348.695,170.7548,0.4357
toi,2,0,2,339.225,348.57,165.3786,0.7131
toi,2,0,3,339.895,348.345,157.4434,0.7038
toi,2,0,4,340.64,347.945,147.7502,0.9933
toi,2,0,5,341.44,347.375,141.2483,0.9745
toi,2,0,6,342.16,346.73,135.0006,0.9617
toi,2,0,7,342.79,346.02,128.0879,0.9402
toi,2,0,8,343.32,345.25,120.9647,0.9329
toi,2,0,9,343.745,344.435,114.0262,0.9087
toi,2,0,10,344.0,343.71,102.7228,0.6356
toi,2,0,11,344.105,343.09,96.4423,0.6239
toi,2,0,12,344.145,342.465,90.9103,0.6301
toi,2,0,13,344.14,342.045,84.5542,0.2109
toi,2,0,14,344.08,341.595,81.7557,0.6972
toi,2,0,15,343.97,340.87,81.0254,0.7694
toi,2,0,16,342.645,340.695,170.7952,2.563
toi,2,0,17,341.405,341.08,82.09,0.3635
toi,2,0,18,341.44,341.64,88.4934,0.7603
toi,2,0,19,341.395,342.4,98.2346,0.7679
toi,2,0,20,341.23,343.15,106.557,0.772
toi,2,0,21,340.955,343.875,114.9299,0.7829
toi,2,0,22,340.575,344.565,122.6916,0.7961
toi,2,0,23,340.095,345.205,130.9857,0.8081
toi,2,0,24,339.63,345.64,146.9747,0.4771
toi,2,0,25,339.21,345.875,154.4872,0.4875
toi,2,0,26,338.76,346.06,160.8203,0.487
toi,2,0,27,338.285,346.195,167.3479,0.5022
toi,2,0,28,337.975,346.26,171.2523,0.1315
toi,3,0,0,269.41,355.44,168.0705,2.9027
toi,3,0,1,270.8,355.0,77.9057,0.2864
toi,3,0,2,270.755,354.79,77.9057,0.1432
toi,3,0,3,270.28,352.01,80.3662,5.4975
toi,3,0,4,269.795,349.04,84.5091,0.5224
toi,3,0,5,269.79,348.52,94.3997,0.5215
toi,3,0,6,269.87,348.0,102.994,0.5337
toi,3,0,7,270.025,347.495,111.1941,0.5256
toi,3,0,8,270.27,347.045,126.1929,0.508
toi,3,0,9,270.605,346.655,134.9988,0.5233
toi,3,0,10,271.0,346.31,142.6976,0.528
toi,3,0,11,271.445,346.02,151.0482,0.5371
toi,3,0,12,267.685,346.575,170.2703,8.1066
toi,3,0,13,263.91,347.25,177.3969,0.4405
toi,3,0,14,264.35,347.265,6.4839,0.4428
toi,3,0,15,264.785,347.335,11.8204,0.4393
toi,3,0,16,265.205,347.46,21.3182,0.4401
toi,3,0,17,265.595,347.64,28.393,0.4206
toi,3,0,18,266.005,347.96,44.3576,0.6294
toi,3,0,19,266.41,348.43,54.2449,0.6161
toi,3,0,20,266.725,348.95,63.4356,0.6037
toi,3,0,21,266.94,349.5,74.0542,0.5824
toi,3,0,22,267.05,349.94,79.381,0.3256
toi,3,0,23,267.51,352.64,80.3913,5.1523
toi,3,0,24,267.965,355.46,84.8991,0.5622
toi,4,0,0,270.71,360.475,170.1674,8.1396
toi,4,0,1,274.49,358.54,79.4922,2.5223
toi,4,0,2,274.065,357.335,169.8252,0.3962
toi,4,0,3,273.76,357.39,169.6931,0.2236
toi,4,0,4,273.525,357.415,177.7106,0.2502
toi,4,0,5,273.275,357.415,2.2894,0.2502
toi,4,0,6,273.025,357.385,11.3106,0.255
toi,4,0,7,272.76,357.31,19.655,0.2973
toi,4,0,8,272.49,357.195,26.5624,0.2907
toi,4,0,9,272.245,357.045,36.4701,0.286
toi,4,0,10,271.945,356.82,37.1171,0.464
toi,4,0,11,271.595,356.52,44.1191,0.4597
toi,4,0,12,271.29,356.185,51.3408,0.4482
toi,4,0,13,271.055,355.795,66.1606,0.4701
toi,4,0,14,270.895,355.36,73.5395,0.4588
toi,4,0,15,269.41,355.44,168.0705,2.9027
toi,4,0,16,267.98,356.07,91.7374,0.6603
toi,4,0,17,267.885,356.665,107.7823,0.5566
toi,4,0,18,267.665,357.175,118.8571,0.5595
toi,4,0,19,267.355,357.645,127.8732,0.5701
toi,4,0,20,266.96,358.07,137.7258,0.5947
toi,4,0,21,266.485,358.435,147.0963,0.6075
toi,5,0,0,215.88,369.92,172.4067,0.3027
toi,5,0,1,218.15,369.565,171.0202,4.2926
toi,5,0,2,243.485,365.2,170.1519,47.1244
toi,5,0,3,266.465,359.885,79.6356,2.6126
toi,5,0,4,266.065,358.675,155.556,0.3625
toi,5,0,5,241.235,363.035,170.1445,50.0689
toi,5,0,6,214.79,367.6,171.0605,3.6038
toi,6,0,0,157.46,432.945,130.7046,4.8148
toi,6,0,1,172.69,414.33,129.1311,43.2897
toi,6,0,2,185.51,396.87,38.5766,2.149
toi,6,0,3,179.975,401.925,129.3547,14.8079
toi,6,0,4,167.835,416.375,130.474,22.9394
toi,6,0,5,157.845,428.245,128.9805,8.0915
toi,6,0,6,155.145,431.58,129.2066,0.4904
toi,6,0,7,154.675,432.16,128.9278,1.0026
toi,6,0,8,154.27,432.645,133.4527,0.2617
toi,7,0,0,265.32,146.665,110.4372,45.707
toi,7,0,1,279.02,110.7,111.4612,31.2679
toi,7,0,2,283.32,95.585,21.6971,3.0565
toi,7,0,3,281.825,95.235,109.2303,0.4554
toi,7,0,4,268.47,131.08,110.4414,76.0488
toi,7,0,5,255.05,166.83,139.3997,0.3688
toi,7,0,6,254.76,167.065,142.5228,0.378
toi,8,0,0,218.675,268.215,21.5015,2.4828
toi,8,0,1,221.295,264.755,110.5159,8.3603
toi,8,0,2,221.55,260.415,19.3528,2.5649
toi,8,0,3,220.15,260.185,134.2575,0.5445
toi,8,0,4,219.73,260.545,144.3437,0.5661
toi,8,0,5,219.245,260.84,152.9889,0.5724
toi,8,0,6,218.715,261.07,160.0159,0.5852
toi,8,0,7,218.15,261.225,169.2625,0.5903
toi,8,0,8,217.305,262.795,110.1197,3.2269
toi,8,0,9,216.94,264.55,51.6328,0.6122
toi,8,0,10,217.28,265.055,60.4882,0.609
toi,8,0,11,217.54,265.6,68.5521,0.6017
toi,8,0,12,217.705,266.165,79.0773,0.5805
toi,8,0,13,217.775,266.745,87.0893,0.5908
toi,9,0,0,217.305,262.795,110.1197,3.2269
toi,9,0,1,217.54,261.295,177.3163,0.6407
toi,9,0,2,216.905,261.28,5.4401,0.6329
toi,9,0,3,213.915,260.24,20.685,5.7186
toi,9,0,4,210.89,259.055,26.5651,0.7826
toi,9,0,5,210.23,258.665,34.7429,0.7545
toi,9,0,6,209.64,258.2,41.7604,0.7507
toi,9,0,7,209.145,257.64,55.2574,0.7545
toi,9,0,8,208.745,257.005,60.3502,0.7479
toi,9,0,9,208.42,256.335,67.913,0.7446
toi,9,0,10,208.18,255.64,74.0544,0.728
toi,9,0,11,206.735,258.89,110.4863,7.6861
toi,9,0,12,205.63,262.295,140.907,0.6185
toi,9,0,13,206.14,261.935,148.5695,0.6329
toi,9,0,14,206.71,261.64,156.5727,0.6539
toi,9,0,15,207.325,261.425,164.8979,0.6525
toi,9,0,16,207.965,261.29,171.2532,0.6576
toi,9,0,17,208.635,261.265,4.1461,0.6918
toi,9,0,18,209.325,261.35,9.8654,0.7004
toi,9,0,19,210.0,261.5,15.2544,0.6841
toi,9,0,20,213.255,262.695,20.6954,6.2535
toi,10,0,0,190.71,350.81,63.4349,0.7603
toi,10,0,1,190.42,350.105,71.8007,0.7685
toi,10,0,2,190.235,349.37,80.0357,0.7513
toi,10,0,3,190.165,348.625,89.2365,0.7501
toi,10,0,4,204.995,308.46,110.4471,84.9311
toi,10,0,5,218.675,268.215,21.5009,2.4828
toi,10,0,6,202.815,307.2,110.4477,84.1843
toi,10,0,7,187.985,346.765,135.0,0.3536
toi,10,0,8,187.715,347.0,142.8145,0.364
toi,10,0,9,187.41,347.205,149.3025,0.3722
toi,10,0,10,187.07,347.365,160.1441,0.3828
toi,10,0,11,186.705,347.48,164.8749,0.3833
toi,10,0,12,186.33,347.55,173.9921,0.3821
toi,11,0,0,247.145,169.265,20.6456,5.247
toi,11,0,1,249.865,170.355,31.9071,0.6243
toi,11,0,2,250.375,170.71,37.7949,0.6201
toi,11,0,3,251.155,169.42,109.8744,3.1475
toi,11,0,4,251.395,167.905,6.7669,0.5941
toi,11,0,5,250.815,167.8,13.7978,0.5869
toi,11,0,6,246.985,166.39,20.7066,7.5796
toi,11,0,7,243.285,164.895,45.0,0.4384
toi,11,0,8,243.005,164.56,55.2211,0.4383
toi,11,0,9,242.79,164.185,65.2247,0.4296
toi,11,0,10,242.655,163.79,77.3199,0.41
toi,11,0,11,242.605,163.38,88.6369,0.4201
toi,11,0,12,242.635,162.965,99.6883,0.4159
toi,11,0,13,241.395,166.175,110.4733,7.2905
toi,11,0,14,240.445,169.37,145.9052,0.7849
toi,11,0,15,241.125,168.97,153.1137,0.796
toi,11,0,16,241.86,168.66,161.1135,0.8033
toi,11,0,17,242.645,168.445,168.1461,0.8276
toi,11,0,18,243.46,168.33,175.8152,0.8222
toi,12,0,0,253.315,175.305,20.9059,2.4942
toi,12,0,1,255.91,171.915,110.4495,8.1859
toi,12,0,2,255.975,167.63,18.2458,2.8745
toi,12,0,3,254.35,167.325,150.854,0.5954
toi,12,0,4,253.81,167.585,157.6703,0.6054
toi,12,0,5,253.23,167.775,165.9644,0.6185
toi,12,0,6,252.625,167.89,172.5269,0.6152
toi,12,0,7,252.005,167.935,179.0925,0.6301
toi,12,0,8,251.155,169.42,109.874,3.1475
toi,12,0,9,250.9,171.18,45.0,0.792
toi,12,0,10,251.415,171.765,52.3853,0.7701
toi,12,0,11,251.835,172.405,61.0916,0.7654
toi,12,0,12,252.145,173.095,70.602,0.7527
toi,12,0,13,252.34,173.815,79.1438,0.7433
toi,13,0,0,238.62,218.295,110.4445,90.8101
toi,13,0,1,253.315,175.305,20.9059,2.4942
toi,13,0,2,236.315,217.335,110.4458,90.6614
toi,13,0,3,220.41,259.9,127.876,0.228
toi,14,0,0,280.58,87.355,106.2388,3.2184
toi,14,0,1,280.78,85.7,23.7496,0.5463
toi,14,0,2,279.72,85.27,21.5576,1.7418
toi,14,0,3,277.46,84.46,18.6714,3.0611
toi,14,0,4,274.3,83.34,20.2249,3.6447
toi,14,0,5,272.515,82.915,110.0943,0.4366
toi,14,0,6,272.21,83.73,110.6585,1.3038
toi,14,0,7,271.725,85.025,110.4189,1.4618
toi,14,0,8,270.83,87.425,110.4645,3.661
toi,14,0,9,270.4,88.855,126.3863,0.708
toi,14,0,10,270.87,88.32,136.1227,0.7214
toi,14,0,11,271.44,87.86,145.8845,0.7489
toi,14,0,12,272.095,87.485,154.441,0.7648
toi,14,0,13,272.81,87.21,163.4426,0.772
toi,14,0,14,273.57,87.04,171.252,0.7892
toi,14,0,15,274.35,86.98,0.0,0.78
toi,14,0,16,275.13,87.03,7.3059,0.7864
toi,14,0,17,275.875,87.195,17.9504,0.7463
toi,14,0,18,276.395,87.36,16.86,0.3448
toi,14,0,19,277.07,87.575,17.9269,1.0721
toi,14,0,20,278.235,88.005,22.0273,1.4131
toi,15,0,0,283.32,95.585,21.6971,3.0565
toi,15,0,1,284.755,96.12,116.5651,0.0671
toi,15,0,2,284.96,95.51,108.1382,1.2207
toi,15,0,3,285.27,94.335,101.402,1.214
toi,15,0,4,285.44,93.14,94.7639,1.2042
toi,15,0,5,285.49,92.11,90.0,0.86
toi,15,0,6,285.425,91.25,81.4039,0.8698
toi,15,0,7,285.235,90.405,73.2372,0.8668
toi,15,0,8,284.925,89.585,65.4498,0.8905
toi,15,0,9,284.495,88.805,56.8426,0.8959
toi,15,0,10,283.925,88.035,50.5535,1.023
toi,15,0,11,283.22,87.29,42.6456,1.0332
toi,15,0,12,282.41,86.63,35.7896,1.0602
toi,15,0,13,281.505,86.065,28.2283,1.0782
toi,15,0,14,280.58,87.355,106.2388,3.2184
toi,15,0,15,280.32,89.01,30.0704,0.4391
toi,15,0,16,280.765,89.285,32.9037,0.6075
toi,15,0,17,281.24,89.645,41.5535,0.588
toi,15,0,18,281.645,90.065,50.5714,0.5826
toi,15,0,19,281.965,90.535,61.1436,0.5595
toi,15,0,20,282.195,91.045,70.2774,0.563
