airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
tpa,0,path,,UNLABELED,100.08,386.76,149.91,382.07,49.83,4.69,233.7028,118.412,105.0839,124.995,384.415,10.6247,12,1,0,1,rgb,207,207,207,0,none,,,,0.0,179.7556,211.7896,178.3515,37.1954,0.0,594.0,387.36,0.0,184.6488
tpa,1,path,,UNLABELED,149.8,386.8,158.49,381.17,8.69,5.63,48.9248,45.0873,20.9643,154.145,383.985,1.5435,10,1,0,1,rgb,207,207,207,0,none,,,,0.0,178.0597,2.6161,178.0837,5.383,0.0,594.0,387.36,0.0,45.0873
tpa,2,path,,UNLABELED,158.26,386.36,168.95,381.11,10.69,5.25,56.1225,38.2629,28.282,163.605,383.735,2.0362,10,1,0,1,rgb,207,207,207,0,none,,,,0.0,175.7655,4.204,88.9413,4.8708,0.0,594.0,387.36,0.0,51.7568
tpa,3,path,,UNLABELED,156.91,256.47,164.21,249.74,7.3,6.73,49.1291,35.8939,21.7657,160.56,253.105,1.0847,32,1,0,1,rgb,207,207,207,0,none,,,,0.0,17.6959,1.3001,178.6129,4.1312,0.0,594.0,387.36,0.0,39.9508
tpa,4,path,,UNLABELED,141.8,253.87,156.96,250.95,15.16,2.92,44.2674,35.8297,35.1849,149.38,252.41,5.1918,8,1,0,1,rgb,207,207,207,0,none,,,,0.0,1.5096,33.7308,178.3939,14.9859,0.0,594.0,387.36,0.0,38.4379
tpa,5,path,,UNLABELED,160.02,265.46,162.93,256.41,2.91,9.05,26.3355,22.0447,20.6274,161.475,260.935,0.3215,7,1,0,1,rgb,207,207,207,0,none,,,,0.0,82.3088,11.7487,88.2537,8.2038,0.0,594.0,387.36,0.0,23.3593
tpa,6,path,,UNLABELED,160.35,272.67,164.68,265.41,4.33,7.26,31.4359,25.6487,18.3519,162.515,269.04,0.5964,18,1,0,1,rgb,207,207,207,0,none,,,,0.0,89.4625,5.8027,88.2523,7.2133,0.0,594.0,387.36,0.0,26.7861
tpa,7,path,,UNLABELED,161.64,318.66,165.34,307.77,3.7,10.89,40.2929,28.725,28.3237,163.49,313.215,0.3398,9,1,0,1,rgb,207,207,207,0,none,,,,0.0,83.2036,10.8965,88.2664,8.5939,0.0,594.0,387.36,0.0,35.2195
tpa,8,path,,UNLABELED,154.86,365.61,163.5,356.12,8.64,9.49,81.9936,29.7107,17.8634,159.18,360.865,0.9104,5,1,0,1,rgb,207,207,207,0,none,,,,0.0,129.9067,8.9498,133.0813,9.9263,0.0,594.0,387.36,0.0,30.6918
tpa,9,path,,UNLABELED,162.47,345.75,166.21,335.22,3.74,10.53,39.3823,35.4603,24.2234,164.34,340.485,0.3552,6,1,0,1,rgb,207,207,207,0,none,,,,0.0,93.947,8.7205,87.9526,10.3566,0.0,594.0,387.36,0.0,35.4751
tpa,10,path,,UNLABELED,135.71,370.52,148.4,367.29,12.69,3.23,40.9887,36.8825,28.2292,142.055,368.905,3.9288,8,1,0,1,rgb,207,207,207,0,none,,,,0.0,179.2463,12.6214,178.4257,9.4636,0.0,594.0,387.36,0.0,38.498
tpa,11,path,,UNLABELED,148.38,371.72,157.14,363.37,8.76,8.35,73.1459,44.4983,23.6783,152.76,367.545,1.0491,23,1,0,1,rgb,207,207,207,0,none,,,,0.0,136.2501,2.1448,44.4929,3.1962,0.0,594.0,387.36,0.0,54.0133
tpa,12,path,,UNLABELED,161.24,307.87,165.81,294.57,4.57,13.3,60.781,49.2462,29.9493,163.525,301.22,0.3436,17,1,0,1,rgb,207,207,207,0,none,,,,0.0,85.1088,16.4318,88.2696,13.2461,0.0,594.0,387.36,0.0,51.3538
tpa,13,path,,UNLABELED,160.57,294.63,163.7,272.61,3.13,22.02,68.9227,50.3129,46.4928,162.135,283.62,0.1421,8,1,0,1,rgb,207,207,207,0,none,,,,0.0,89.1464,49.8407,88.2702,14.5766,0.0,594.0,387.36,0.0,54.9877
tpa,14,path,,UNLABELED,161.64,358.79,167.14,345.65,5.5,13.14,72.27,51.7031,33.1715,164.39,352.22,0.4186,25,1,0,1,rgb,207,207,207,0,none,,,,0.0,98.2581,8.9267,89.2426,10.5909,0.0,594.0,387.36,0.0,59.596
tpa,15,path,,UNLABELED,71.61,421.34,75.31,411.86,3.7,9.48,35.0761,31.2351,21.9659,73.46,416.6,0.3903,14,1,0,1,rgb,207,207,207,0,none,,,,0.0,89.916,8.3653,88.0683,5.9334,0.0,594.0,387.36,0.0,31.6629
