airport,object_id,subpath_index,edge_index,mid_x,mid_y,angle,length
vad,0,0,0,257.7685,487.2425,89.4988,40.1305
vad,0,0,1,260.9215,507.281,179.4997,5.9552
vad,0,0,2,263.7235,487.1905,89.4988,40.1305
vad,1,0,0,254.2775,92.5865,89.4989,40.1305
vad,1,0,1,257.4305,112.625,179.4997,5.9552
vad,1,0,2,260.232,92.5345,89.4974,40.1305
vad,2,0,0,291.336,226.312,179.4985,59.8643
vad,2,0,1,320.982,193.4485,89.4991,65.2055
vad,2,0,2,304.5,160.9885,179.4995,32.3952
vad,2,0,3,288.541,188.3165,89.4984,54.3751
vad,2,0,4,274.519,215.628,179.4978,28.5211
vad,3,0,0,211.5405,419.3115,79.0315,0.8567
vad,3,0,1,211.5225,418.514,99.5608,0.7646
vad,3,0,2,211.604,418.9345,88.7072,1.5954
vad,4,0,0,211.7615,419.9835,60.9838,0.5752
vad,4,0,1,212.3515,420.5995,38.9764,1.159
vad,4,0,2,213.305,421.064,11.2447,1.0257
vad,4,0,3,233.082,417.034,167.9056,39.423
vad,4,0,4,253.871,412.165,153.9974,3.3713
vad,4,0,5,256.333,410.032,124.1901,3.3705
vad,4,0,6,257.354,414.2945,89.2506,11.314
vad,4,0,7,257.0645,419.2945,61.0271,1.5008
vad,4,0,8,255.851,418.0385,35.1953,2.0803
vad,4,0,9,254.5315,417.3285,13.2445,0.9647
vad,4,0,10,253.8365,417.2055,3.172,0.4517
vad,4,0,11,253.502,417.196,178.4243,0.2181
vad,4,0,12,253.34,417.203,175.6782,0.1063
vad,4,0,13,253.2735,417.208,175.7648,0.0271
vad,4,0,14,253.247,417.21,175.6039,0.0261
vad,4,0,15,253.221,417.2125,173.4385,0.0262
vad,4,0,16,253.195,417.2155,173.4053,0.0262
vad,4,0,17,236.5455,420.7955,167.8607,34.034
vad,4,0,18,219.5725,424.534,154.5693,0.7452
vad,4,0,19,218.9815,425.027,127.3895,0.8382
vad,4,0,20,218.784,426.1275,85.7526,1.5392
vad,4,0,21,236.682,442.9695,42.0184,48.0288
vad,4,0,22,256.022,459.031,179.5031,2.9981
vad,4,0,23,257.541,461.268,89.4906,4.5002
vad,4,0,24,255.1775,463.5395,179.4832,4.7672
vad,4,0,25,250.991,465.5625,132.0133,5.3877
