airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
vbt,0,path,,UNLABELED,171.8,403.08,176.28,225.72,4.48,177.36,794.5748,541.012,183.9389,174.04,314.4,0.0253,7,1,0,1,rgb,207,207,207,0,none,,,,0.0,89.8674,3399.0255,89.5115,173.5763,0.0,594.0,387.36,0.0,584.9526
vbt,1,path,,UNLABELED,216.02,444.07,220.48,319.77,4.46,124.3,554.3788,375.7546,242.5898,218.25,381.92,0.0359,9,1,0,1,rgb,207,207,207,0,none,,,,0.0,89.2664,1049.9621,89.2825,111.7988,0.0,594.0,387.36,0.0,403.5273
vbt,2,path,,UNLABELED,172.79,447.12,177.07,428.06,4.28,19.06,81.5768,63.881,39.58,174.93,437.59,0.2246,8,1,0,1,rgb,207,207,207,0,none,,,,0.0,90.7291,18.4648,87.7668,11.5488,0.0,594.0,387.36,0.0,70.2783
vbt,3,path,,UNLABELED,173.27,428.08,176.47,416.04,3.2,12.04,38.5282,37.2623,18.2314,174.87,422.06,0.2658,5,1,0,1,rgb,207,207,207,0,none,,,,0.0,86.8919,15.5035,89.6171,11.9703,0.0,594.0,387.36,0.0,37.3203
vbt,4,path,,UNLABELED,169.5,416.06,176.37,403.0,6.87,13.06,89.7221,65.8271,22.3088,172.935,409.53,0.526,16,1,0,1,rgb,207,207,207,0,none,,,,0.0,85.8744,5.575,1.3207,3.4709,0.0,594.0,387.36,0.0,71.2986
vbt,5,path,,UNLABELED,161.34,447.14,164.77,413.58,3.43,33.56,115.1105,98.3966,72.4042,163.055,430.36,0.1022,14,1,0,1,rgb,207,207,207,0,none,,,,0.0,90.5608,96.4528,90.3278,31.4605,0.0,594.0,387.36,0.0,106.3801
vbt,6,path,,UNLABELED,167.25,410.66,169.61,407.11,2.36,3.55,8.378,7.801,11.455,168.43,408.885,0.6648,8,1,0,1,rgb,207,207,207,0,none,,,,0.0,87.9199,2.5844,89.193,3.5504,0.0,594.0,387.36,0.0,7.9902
vbt,7,path,,UNLABELED,161.38,413.62,167.3,407.1,5.92,6.52,38.5984,27.4253,20.2314,164.34,410.36,0.908,16,1,0,1,rgb,207,207,207,0,none,,,,0.0,120.323,1.7039,89.193,3.5504,0.0,594.0,387.36,0.0,28.3696
vbt,8,path,,UNLABELED,171.1,194.06,175.3,145.17,4.2,48.89,205.3379,165.4501,103.9987,173.2,169.615,0.0859,12,1,0,1,rgb,207,207,207,0,none,,,,0.0,90.0696,154.7118,89.4739,44.6519,0.0,594.0,387.36,0.0,177.7622
vbt,9,path,,UNLABELED,171.64,225.79,175.22,206.03,3.58,19.76,70.7408,62.347,43.4323,173.43,215.91,0.1812,5,1,0,1,rgb,207,207,207,0,none,,,,0.0,91.2521,33.8283,89.5344,19.6907,0.0,594.0,387.36,0.0,66.0975
vbt,10,path,,UNLABELED,200.41,318.48,213.79,308.72,13.38,9.76,130.589,55.142,43.5326,207.1,313.6,1.3709,23,1,0,1,rgb,207,207,207,0,none,,,,0.0,1.2822,3.4165,89.589,9.7603,0.0,594.0,387.36,0.0,93.1344
vbt,11,path,,UNLABELED,213.71,319.77,219.26,305.51,5.55,14.26,79.1427,60.6563,22.5081,216.485,312.64,0.3892,20,1,0,1,rgb,207,207,207,0,none,,,,0.0,89.802,11.1738,91.0807,4.2407,0.0,594.0,387.36,0.0,66.9248
