airport,object_id,subpath_index,edge_index,mid_x,mid_y,angle,length
vct,0,0,0,175.365,258.38,137.4047,4.5507
vct,0,0,1,214.7,272.71,22.8507,81.7345
vct,0,0,2,252.655,288.57,178.0567,0.5904
vct,0,0,3,253.675,288.245,156.5165,1.5809
vct,0,0,4,254.7,287.075,109.3348,1.8122
vct,0,0,5,255.91,280.055,98.3967,12.4636
vct,0,0,6,256.84,272.94,91.2054,1.9004
vct,0,0,7,256.73,271.2,80.6562,1.6013
vct,0,0,8,255.99,270.005,33.5814,1.4644
vct,0,0,9,230.87,259.38,22.6348,53.1108
vct,0,0,10,199.15,246.155,22.6254,15.6223
vct,0,0,11,192.865,242.3,137.4194,2.5125
vct,0,0,12,200.645,244.31,22.6466,14.8554
vct,0,0,13,231.875,257.335,22.6374,52.8192
vct,0,0,14,258.19,268.4,24.8876,4.2772
vct,0,0,15,260.745,269.375,6.9528,1.2391
vct,0,0,16,261.86,269.27,160.2019,1.0628
vct,0,0,17,262.58,268.63,115.5598,1.0198
vct,0,0,18,262.74,267.465,85.1357,1.4151
vct,0,0,19,262.79,223.49,90.1457,86.5403
vct,0,0,20,262.795,179.52,81.4697,1.4157
vct,0,0,21,262.22,178.26,49.9935,1.4622
vct,0,0,22,261.18,177.965,155.066,1.2572
vct,0,0,23,259.31,179.575,134.025,3.7411
vct,0,0,24,258.36,181.34,50.195,1.0934
vct,0,0,25,257.375,182.995,137.2281,3.6373
vct,0,0,26,254.565,182.62,47.5056,4.367
vct,0,0,27,254.42,179.795,137.5874,3.6028
vct,0,0,28,256.135,178.95,43.8607,1.0679
vct,0,0,29,258.915,177.17,138.0855,6.4369
vct,0,0,30,261.7,174.495,126.6074,1.308
vct,0,0,31,262.4,173.36,116.9387,1.3685
vct,0,0,32,262.81,171.62,95.0576,2.2688
vct,0,0,33,262.995,163.335,90.6807,14.311
vct,0,0,34,263.045,155.115,88.1175,2.1312
vct,0,0,35,262.86,153.71,66.1935,0.7433
vct,0,0,36,262.11,152.795,43.7807,1.662
vct,0,0,37,261.175,152.03,29.5602,0.7703
vct,0,0,38,260.25,151.965,168.0379,1.2062
vct,0,0,39,259.605,152.025,49.7606,0.1703
vct,0,0,40,263.305,148.53,137.5899,10.1715
vct,0,0,41,271.96,150.275,46.5636,14.2535
