airport,object_id,subpath_index,edge_index,mid_x,mid_y,angle,length
xno,0,0,0,292.733,260.353,1.1372,5.6431
xno,0,0,1,293.9545,340.6785,91.1416,160.5709
xno,0,0,2,289.534,420.884,1.2997,5.6435
xno,1,0,0,175.228,407.712,46.2212,6.0386
xno,1,0,1,170.6305,407.936,136.2186,6.9489
xno,1,0,2,164.3785,406.4335,46.2206,10.8212
xno,1,0,3,163.0,400.261,136.2247,6.5507
xno,1,0,4,160.458,392.495,48.2612,14.7416
xno,1,0,5,153.115,389.1685,138.2593,6.5294
xno,1,0,6,148.0995,388.48,47.9719,7.7058
xno,1,0,7,150.787,380.5825,136.2872,14.5736
xno,1,0,8,156.227,375.76,50.9165,0.5488
xno,1,0,9,156.697,375.8715,161.1321,0.6277
xno,1,0,10,166.2365,366.9225,136.2509,25.5892
xno,1,0,11,177.943,360.6495,46.2564,7.1272
xno,1,0,12,180.2965,363.5005,111.7831,0.5955
xno,1,0,13,180.322,364.0425,62.8766,0.5966
xno,1,0,14,182.1755,365.9335,43.4236,4.7295
xno,1,0,15,192.1225,359.871,136.9484,22.5238
xno,1,0,16,201.874,352.2345,1.9379,3.0457
xno,1,0,17,205.761,354.5715,44.0206,6.5778
xno,1,0,18,215.8755,350.6945,141.5078,19.8021
xno,1,0,19,222.126,342.6465,51.5147,4.8175
xno,1,0,20,219.799,340.149,36.4697,2.0593
xno,1,0,21,217.759,339.062,21.4005,2.6035
xno,1,0,22,207.7525,336.555,13.0101,18.0524
xno,1,0,23,199.472,334.028,136.0782,1.4272
xno,1,0,24,209.2225,335.8095,13.8456,19.0258
xno,1,0,25,219.589,338.7925,32.0145,2.6654
xno,1,0,26,222.596,341.7525,50.2082,5.8656
xno,1,0,27,230.569,339.299,142.3266,15.4035
xno,1,0,28,238.3625,333.9525,159.3571,3.6279
xno,1,0,29,247.4015,332.3575,172.5847,14.8068
xno,1,0,30,260.096,331.558,1.6692,10.7105
xno,1,0,31,276.274,332.649,4.9366,21.7306
xno,1,0,32,287.773,333.68,8.107,1.3616
xno,1,0,33,288.435,334.3745,91.148,1.1972
xno,1,0,34,278.1665,333.983,5.5134,20.6083
xno,1,0,35,259.1515,332.944,0.3205,17.5173
