feature,gain,split
num_anchors,180742.17250257457,2079
longest_segment_length,171468.8447222298,2140
principal_ratio,169859.27729157102,2577
runway_label_signature,126122.25027535652,652
poly_area,96382.06363345157,334
pdf_word_length,84184.4421334896,1090
pdf_word_dist,83344.90475558852,3316
taxiway_label_signature,72992.2523114288,291
fill_r,65277.82358858531,892
knn_dist_1,48882.12575964745,2782
size_rel_to_artboard,32238.665067573038,1473
dist_to_runway_edge,28354.2146395749,3155
bbox_area,21588.176828890693,1665
closed,21402.33605210217,32
knn_dist_3,17054.589857043633,1870
aspect,15385.16293401878,1417
similar_neighbor_count,13900.30531950177,1092
perimeter,13769.159097557922,2023
bbox_area_rel,11418.176224503557,377
pdf_inside_word_bbox,9982.55063730693,74
aligned_neighbor_count,8438.674631105461,991
local_density,7948.4281500575635,1620
width,7072.470413162381,1557
height,6121.9108780223305,1243
knn_dist_5,6105.40730602127,1476
fill_g,5700.790129104777,72
angle_to_runway_edge,4867.3826487095885,1044
dist_to_taxiway_edge,4748.463364276227,1764
knn_dist_10,4394.114840487645,1278
principal_angle,3578.611226324809,1618
dist_to_taxiway,3450.121348422478,1540
filled,3204.8776211684017,154
centroid_norm_y,3195.534919900447,1611
centroid_norm_x,2734.7953407348714,1609
longest_segment_angle,2513.195434440171,1176
dist_to_runway,2344.903979787347,1135
angle_to_taxiway,1990.1991097600617,1032
stroke_r,1880.072478726971,306
angle_to_taxiway_edge,1872.0894426711345,1058
inside_runway_bbox,1820.1311279165454,425
parallelism_to_runway_edge,1540.174493068644,677
lateral_offset_runway,1414.6708000388653,984
longitudinal_offset_runway,1334.891366135949,878
stroked,1321.0928290816826,100
parallelism_to_taxiway_edge,1257.8689609777737,750
parallelism_to_taxiway,1133.5743165830154,752
runway_axis_position,1039.7334022517132,1077
angle_to_runway,868.5331539709858,770
fill_b,783.3391493507145,6
parallelism_to_runway,754.4894988040891,627
subpath_count,398.63308534437016,102
fill_kind,371.29659053518935,48
kind,286.9343891936928,183
stroke_kind,284.2181344366316,47
stroke_width,276.97259806560874,94
inside_taxiway_bbox,209.05801139740433,81
perp_to_runway,74.04511349906694,80
stroke_g,37.03733335008203,26
stroke_b,16.247468475274218,5
