feature,gain,split
pdf_text_match,77284.80284786224,129
fill_r,54649.9994473711,576
aspect,20797.76313390964,966
dist_to_runway_edge,16771.673053023864,2345
pdf_inside_word_bbox,15553.157788664354,114
principal_ratio,14762.108760416493,1581
num_anchors,14736.13211484242,1144
pdf_word_length,12859.17287156249,1311
bbox_area_rel,11111.43294363785,377
pdf_word_dist,8865.662049353039,1797
perimeter,8600.460159541624,1130
longest_segment_length,7439.031411505209,929
knn_dist_3,7268.707646276148,1340
bbox_area,6808.015578591379,1279
knn_dist_1,6337.491123701407,1234
dist_to_taxiway_edge,6035.46869577956,1141
stroked,5686.230276370891,96
principal_angle,5450.016584050786,626
poly_area,5064.484823572845,142
angle_to_taxiway_edge,4705.5925309605445,677
local_density,3726.3901073558927,1130
size_rel_to_artboard,3614.0916098884627,696
dist_to_taxiway,3594.472630747594,1175
fill_g,3313.350123672469,76
centroid_norm_y,2997.7360384421836,849
knn_dist_5,2735.4377238280686,1002
inside_runway_bbox,2340.3646117150606,128
width,2250.505197461927,828
stroke_kind,2017.472604397274,39
similar_neighbor_count,1971.7338317800134,574
aligned_neighbor_count,1888.2400311651472,496
knn_dist_10,1855.424411280808,757
fill_b,1601.9326715473755,4
lateral_offset_runway,1466.7625163294276,462
height,1438.8482591229067,705
angle_to_runway_edge,1392.9966178706045,710
dist_to_runway,1220.7292902044258,720
centroid_norm_x,1127.959488802676,815
parallelism_to_runway_edge,1117.5054467460766,422
longest_segment_angle,939.0599727532618,654
runway_axis_position,877.778341511214,470
angle_to_runway,874.4452237158769,426
parallelism_to_taxiway_edge,687.3107387113935,461
kind,606.003289653035,110
angle_to_taxiway,571.5021550100356,462
parallelism_to_runway,516.3358800133478,219
stroke_r,494.97085029514653,162
parallelism_to_taxiway,492.33680222305895,347
longitudinal_offset_runway,377.5179862520201,350
closed,284.3764896895093,6
inside_taxiway_bbox,266.7528981180096,56
subpath_count,167.21734194090084,64
stroke_g,100.6375243509138,30
filled,35.500380164175134,61
fill_kind,30.046315576153,29
perp_to_runway,29.48020374892968,22
stroke_width,19.854560448943367,38
stroke_b,1.2452400222073834e-11,1
